"customer_id","company_name","industry","country","signup_date","plan_type","subscription_id","start_date","end_date","customer_status"
ffb3e673-3f44-4458-9c76-6fa8fbdb6ac5,Company_0,Tech,Canada,2024-08-07 02:31:57.000,Enterprise,"337a1e5d-3e6e-45a2-9de3-bee0b0f16d92",2024-12-04 13:38:39.000,2025-12-04 13:38:39.000,Active
a25aa596-a700-466d-82b4-15c070e8128d,Company_1,Education,Canada,2024-05-06 17:15:43.000,Basic,"6bd6efa3-c7e1-4c6d-b5de-2baf2d4514a0",2024-10-04 19:26:46.000,2025-10-04 19:26:46.000,Active
a018a97f-cf35-48a4-ad9c-50b1fb940eb3,Company_2,Education,UK,2024-06-26 20:16:56.000,Pro,fd9c239c-938f-491a-84bd-017148e4343b,2024-10-19 02:44:27.000,2024-11-18 02:44:27.000,Churned
"61e91630-74c9-48ee-a8e8-f9e541360424",Company_3,Finance,Germany,2024-06-23 21:35:48.000,Basic,"83b5a832-c6c6-42ab-a627-443f371db136",2025-01-04 11:18:09.000,2025-02-03 11:18:09.000,Churned
"5c3f8847-3db5-476b-b5d3-ebff47fdb514",Company_4,Finance,Germany,2024-02-22 02:19:33.000,Basic,"6b660380-6c12-477a-99fd-04b00e274596",2024-10-11 20:51:27.000,2024-11-10 20:51:27.000,Churned
cbacda48-6c8b-4cae-85f2-881887efb418,Company_5,Retail,France,2024-06-01 15:00:57.000,Enterprise,"0e035dc8-3a7f-41b5-b48a-7a1d133e6ac9",2024-09-24 05:49:43.000,2025-09-24 05:49:43.000,Active
"916bf178-136e-41ea-b197-1aad4ec089ab",Company_6,Retail,Germany,2024-03-26 00:20:49.000,Enterprise,"874b884f-639e-4e41-ac93-50682d2af88a",2024-11-02 15:02:32.000,2024-12-02 15:02:32.000,Churned
fedc414e-eb55-4d50-aa23-3affadb1e424,Company_7,Education,Canada,2024-07-30 17:45:31.000,Basic,"966a0492-b7b8-4fa6-b041-f905d13a1435",2024-10-17 03:16:20.000,,Active
d8c3ce2d-4d32-45f8-a530-ea8613311181,Company_8,Tech,Germany,2024-04-24 00:21:53.000,Basic,da57fc7b-6765-4794-a1bc-85d83fc9006f,2024-09-08 03:22:16.000,2025-09-08 03:22:16.000,Active
fd049757-3a43-4f34-acdd-e23b957a6a25,Company_9,Finance,USA,2024-07-14 08:27:13.000,Enterprise,"67429607-5b57-42d6-9630-0836b6fa289b",2024-11-25 10:35:47.000,2025-11-25 10:35:47.000,Active
