"subscription_id","customer_id","company_name","country","plan_type","start_date","end_date","amount_paid","payment_status","revenue_month","mrr","subscription_status"
"337a1e5d-3e6e-45a2-9de3-bee0b0f16d92",ffb3e673-3f44-4458-9c76-6fa8fbdb6ac5,Company_0,Canada,Enterprise,2024-12-04 13:38:39.000,2025-12-04 13:38:39.000,149.65,Failed,2024-12-01 00:00:00.000,149.65,Active
"6bd6efa3-c7e1-4c6d-b5de-2baf2d4514a0",a25aa596-a700-466d-82b4-15c070e8128d,Company_1,Canada,Basic,2024-10-04 19:26:46.000,2025-10-04 19:26:46.000,461.14,Pending,2024-10-01 00:00:00.000,461.14,Active
fd9c239c-938f-491a-84bd-017148e4343b,a018a97f-cf35-48a4-ad9c-50b1fb940eb3,Company_2,UK,Pro,2024-10-19 02:44:27.000,2024-11-18 02:44:27.000,472.03,Failed,2024-10-01 00:00:00.000,472.03,Canceled
"83b5a832-c6c6-42ab-a627-443f371db136","61e91630-74c9-48ee-a8e8-f9e541360424",Company_3,Germany,Basic,2025-01-04 11:18:09.000,2025-02-03 11:18:09.000,227.37,Paid,2025-01-01 00:00:00.000,227.37,Canceled
"6b660380-6c12-477a-99fd-04b00e274596","5c3f8847-3db5-476b-b5d3-ebff47fdb514",Company_4,Germany,Basic,2024-10-11 20:51:27.000,2024-11-10 20:51:27.000,403.17,Failed,2024-10-01 00:00:00.000,403.17,Canceled
"0e035dc8-3a7f-41b5-b48a-7a1d133e6ac9",cbacda48-6c8b-4cae-85f2-881887efb418,Company_5,France,Enterprise,2024-09-24 05:49:43.000,2025-09-24 05:49:43.000,268.12,Pending,2024-09-01 00:00:00.000,268.12,Active
"874b884f-639e-4e41-ac93-50682d2af88a","916bf178-136e-41ea-b197-1aad4ec089ab",Company_6,Germany,Enterprise,2024-11-02 15:02:32.000,2024-12-02 15:02:32.000,280.29,Failed,2024-11-01 00:00:00.000,280.29,Canceled
"966a0492-b7b8-4fa6-b041-f905d13a1435",fedc414e-eb55-4d50-aa23-3affadb1e424,Company_7,Canada,Basic,2024-10-17 03:16:20.000,,432.52,Failed,2024-10-01 00:00:00.000,432.52,Active
da57fc7b-6765-4794-a1bc-85d83fc9006f,d8c3ce2d-4d32-45f8-a530-ea8613311181,Company_8,Germany,Basic,2024-09-08 03:22:16.000,2025-09-08 03:22:16.000,60.44,Failed,2024-09-01 00:00:00.000,60.44,Active
"67429607-5b57-42d6-9630-0836b6fa289b",fd049757-3a43-4f34-acdd-e23b957a6a25,Company_9,USA,Enterprise,2024-11-25 10:35:47.000,2025-11-25 10:35:47.000,331.91,Failed,2024-11-01 00:00:00.000,331.91,Active
"74378989-aa3e-491a-9391-0a03a026cbc8","58a465c5-b0a3-411f-8303-e8b795e68249",Company_10,Canada,Pro,2024-08-23 11:09:23.000,2025-08-23 11:09:23.000,316.06,Pending,2024-08-01 00:00:00.000,316.06,Active
"8d402053-2de1-4ae2-9b24-74e4a77ed007",f3b6ef4a-0f30-46de-934f-bc2eced5396e,Company_11,USA,Basic,2024-12-15 08:59:50.000,2025-12-15 08:59:50.000,305.41,Pending,2024-12-01 00:00:00.000,305.41,Active
"3ea4cb8a-8b21-459b-ba59-7a09cf9949bd",dca2f1d1-129f-4f24-89ce-7e3d0e75179a,Company_12,UK,Enterprise,2024-10-02 14:47:16.000,2025-10-02 14:47:16.000,316.20,Failed,2024-10-01 00:00:00.000,316.20,Active
"9a7eddc0-c2b7-4ad1-9a78-3b7c6b25c543",b74b6d9c-92f7-4d2e-9a77-cce9095a6088,Company_13,UK,Enterprise,2024-10-23 05:00:23.000,,446.08,Failed,2024-10-01 00:00:00.000,446.08,Active
"6702407c-aa2f-45ca-a5fa-f2c8a980c5b4","93049b65-7b3b-458c-bfc4-d09cb1eb0bc8",Company_14,Germany,Pro,2024-12-30 12:07:21.000,2025-01-29 12:07:21.000,406.37,Failed,2024-12-01 00:00:00.000,406.37,Canceled
"7a62b2eb-a83f-4272-8c38-41bc0ec338fb",de557f6d-8d18-48c9-b2df-10edf9d4e8ee,Company_15,France,Pro,2024-10-04 22:48:35.000,2024-11-03 22:48:35.000,276.91,Pending,2024-10-01 00:00:00.000,276.91,Canceled
a8f2c1f5-2dd1-44e8-9214-f0a163ee5056,"9bceac19-ed3d-4c62-8193-041ac378ad11",Company_16,Germany,Pro,2024-08-21 13:49:35.000,2025-08-21 13:49:35.000,282.44,Pending,2024-08-01 00:00:00.000,282.44,Active
"61fedf52-f8ba-4e71-8333-c64f37c39d7e","29d855f6-54f1-4cf9-810c-75dd417e47ec",Company_17,UK,Pro,2024-09-15 22:32:17.000,2024-10-15 22:32:17.000,483.16,Failed,2024-09-01 00:00:00.000,483.16,Canceled
f17828fa-dc1f-432c-859e-e0149b55fddd,e3cb30f1-e0e9-472b-a802-987fb118fd42,Company_18,UK,Enterprise,2024-08-20 05:15:53.000,,490.24,Pending,2024-08-01 00:00:00.000,490.24,Active
dc7cd122-a2b3-4cc2-9c63-f5da5252be69,"93a65e69-e61f-4e67-9557-5a5a5890a1cd",Company_19,France,Enterprise,2024-09-15 20:20:03.000,2025-09-15 20:20:03.000,340.66,Paid,2024-09-01 00:00:00.000,340.66,Active
"8433d3ed-23f9-4f37-b599-486554faa508",d6452e5f-f58d-48c1-bed3-7665af8350d2,Company_20,Germany,Enterprise,2024-11-04 04:45:17.000,2025-11-04 04:45:17.000,392.35,Pending,2024-11-01 00:00:00.000,392.35,Active
ace036bb-74c7-479c-bda8-a66ba91c6631,b6a55b54-911b-4a40-9a7e-2a23ad03a441,Company_21,Germany,Basic,2024-11-08 09:10:06.000,,133.08,Paid,2024-11-01 00:00:00.000,133.08,Active
"8cd6d6cb-29e9-43e4-a956-49cc01c45afc","088c9914-80bd-4067-98e3-aeee90d6e128",Company_22,France,Basic,2024-10-05 23:58:21.000,2025-10-05 23:58:21.000,131.28,Pending,2024-10-01 00:00:00.000,131.28,Active
"0d9d5a05-59f8-4878-9455-2abfa53f51f6",edb79431-2c57-4384-b9de-9fe874675bcd,Company_23,UK,Pro,2024-08-31 04:59:02.000,2025-08-31 04:59:02.000,148.87,Failed,2024-08-01 00:00:00.000,148.87,Active
"924a94ad-350c-4726-9513-0ef88f29d8f4",cea98f04-cecc-48c9-9446-4ded7e5fa6dc,Company_24,France,Basic,2024-11-07 14:52:57.000,2024-12-07 14:52:57.000,81.62,Pending,2024-11-01 00:00:00.000,81.62,Canceled
